Description,Localisation,NameCoworking,Photo,Prix_Demi_Journer_HT,Prix_Heure_HT,Prix_Journer_HT,_id
"Espace de coworking convivial, professionnel et économique de Paris 18e","11 rue sainte Isaure, 75018, Paris",Work In Progress,https://images.unsplash.com/photo-1586227740560-8cf2732c1531?ixlib=rb-1.2.1&ixid=MnwxMjA3fDF8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1656&q=80,14,4,25,611e4ae216fe8c7bcd3f73af
"Espace de coworking convivial, professionnel et économique de Paris 17eme","10 rue legendre, 75017, Paris","Cowork'in Paris",https://images.unsplash.com/photo-1524758631624-e2822e304c36?ixlib=rb-1.2.1&ixid=MnwxMjA3fDF8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1500&q=80,15,5,30,611e4ae216fe8c7bcd3f73b0
Le Vieux Port est un magnifique espace de coworking situé en plein coeur de quartier du Vieux-Port avec une vue exceptionnelle directement sur la mer! ,"19 Quai de Rive Neuve, 13007 Marseille",La Vieux Port ,https://images.unsplash.com/photo-1498409785966-ab341407de6e?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=760&q=80,12,4,27,611e4ae216fe8c7bcd3f73b1
"Bienvenue au Centre Atlas. Votre espace de travail au coeur de Marseille. Dans le quartier d'affaires de Castellane, sur la prestigieuse Avenue du Prado. Startups, indépendants, TPE/PME, nous avons une solution pour vous.","24 Avenue du Prado, 13008 Marseille",Centre Atlas,https://images.unsplash.com/photo-1593642634367-d91a135587b5?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=750&q=80,20,5,30,611e4ae216fe8c7bcd3f73b2
"Wereso est un espace qui met tout à votre disposition pour vous accueillir dans un lieu agréable au design branché. Cet ancien centre de tri de la poste aux allures new yorkaises vous offre un cadre de travail unique avec ses 8 m de hauteur sous plafond et ses immenses baies vitrées. Mi-coworking mi-coffee shop, le lieu s’adapte à votre façon de travailler.","6 rue du Congrès, 06000 Nice",Wereso,https://images.unsplash.com/photo-1493934558415-9d19f0b2b4d2?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=736&q=80,12,4,27.5,611e4ae216fe8c7bcd3f73b3
"Avec notre environnement détendu, axé sur la collectivité, le calme et le confort de travail, Greenspace est un refuge sûr et tranquille pour les freelances, les entrepreneurs ou les équipes """"startups"""" qui seront amenées à grandir. Nos espaces accueillent les professionnels de tous les domaines et permettent à une communauté active et diversifiée de prospérer en paix.","21 Avenue Thiers, 06000 Nice",MyCowork,https://images.unsplash.com/photo-1496664444929-8c75efb9546f?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=750&q=80,14,4.5,25,611e4ae216fe8c7bcd3f73b4
"Vous cherchez un ou plusieurs bureaux en plein coeur de Paris, un espace design et original ? Au sein d’un ancien atelier d’artiste de plus de 180m2 très clair, entièrement aménagé, nous vous proposons des postes de travail ainsi que des services adaptés à vos besoins. Les tarifs sont dégressifs en fonction du nombre de postes et de la durée d'engagement","35 Rue de Marseille, 69007 Lyon",Cool and Workers,https://images.unsplash.com/photo-1596079890701-dd42edf0b7d4?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=750&q=80,14.5,5,32,611e4ae216fe8c7bcd3f73b5
"ESSpace est une association loi 1901 composée d'un bar ainsi qu'un espace de coworking née en 2017. Mais à l'origine, ESSpace est un projet d'autonomie des jeunes par l'Economie Sociale et Solidaire. A ESSpace, nous souhaitons accompagner les entrepreneurs dans la mise en place et le développement de leur activité en favorisant la valorisation de ""l'idée"" de manière objective mais aussi à travers les échanges d'expériences et de compétences avec les autres coworkers.","61 Cr de la Liberté, 69003 Lyon",ESSpace,https://images.unsplash.com/photo-1498049860654-af1a5c566876?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=750&q=80,12.5,6,30,611e4ae216fe8c7bcd3f73b6
"Le Coworkshop est un espace de coworking, design et convivial destiné à ceux et celles qui recherchent un lieu professionnel et atypique pour y travailler quelques heures ou pour plusieurs mois . Aucune garantie ou caution à verser. Le Coworkshop vous ouvre ses portes quelle que soit votre activité. Pour nous la différence est une force !","22 Rue Jean Souvraz, 62300 Lens",Coworkshop,https://images.unsplash.com/photo-1497366811353-6870744d04b2?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=750&q=80,14,3,29,611e4ae216fe8c7bcd3f73b7
"Unicorners proposes des espaces de co-working, espaces de prototypage et fabrication et bulle de réunion, le tout en open-space partagé !","177 Avenue Alfred Maes, 62300 Lens",Unicorners,https://images.unsplash.com/photo-1519389950473-47ba0277781c?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=750&q=80,12,3.5,29.5,611e4ae216fe8c7bcd3f73b8
